cell,task,source,metric,n,n_front,eps_inf,alpha,lambda_star,boot_lo,boot_hi,boot_se,R2,S_range,x_range,d_aicc,status
llm-bench | AMD MI300X GPU x8 | vLLM | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,5,3,,,,,,,,0.249,1.171,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x8 | vLLM | MuSR,LLM MuSR,llm-inference-bench,MuSR,5,3,,,,,,,,0.11,1.171,,excluded: front shorter than six points
llm-bench | AMD MI300X GPU x8 | vLLM | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,5,4,,,,,,,,0.415,1.171,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x1 | Deepspeed | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,4,2,,,,,,,,0.006,0.153,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x1 | Deepspeed | BBH,LLM BBH,llm-inference-bench,BBH,4,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x1 | Deepspeed | GPQA,LLM GPQA,llm-inference-bench,GPQA,4,2,,,,,,,,0.001,0.182,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x1 | Deepspeed | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,4,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x1 | Deepspeed | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,4,2,,,,,,,,0.19,0.153,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x1 | Deepspeed | IFEval,LLM IFEval,llm-inference-bench,IFEval,4,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x1 | Deepspeed | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,4,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x1 | Deepspeed | MMLU,LLM MMLU,llm-inference-bench,MMLU,4,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x1 | Deepspeed | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,4,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x1 | Deepspeed | MuSR,LLM MuSR,llm-inference-bench,MuSR,4,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x1 | Deepspeed | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,4,2,,,,,,,,0.17,0.153,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x2 | Deepspeed | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,2,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x2 | Deepspeed | BBH,LLM BBH,llm-inference-bench,BBH,2,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x2 | Deepspeed | GPQA,LLM GPQA,llm-inference-bench,GPQA,2,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x2 | Deepspeed | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,2,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x2 | Deepspeed | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,2,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x2 | Deepspeed | IFEval,LLM IFEval,llm-inference-bench,IFEval,2,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x2 | Deepspeed | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,2,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x2 | Deepspeed | MMLU,LLM MMLU,llm-inference-bench,MMLU,2,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x2 | Deepspeed | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,2,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x2 | Deepspeed | MuSR,LLM MuSR,llm-inference-bench,MuSR,2,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x2 | Deepspeed | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,2,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x4 | Deepspeed | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x4 | Deepspeed | BBH,LLM BBH,llm-inference-bench,BBH,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x4 | Deepspeed | GPQA,LLM GPQA,llm-inference-bench,GPQA,3,2,,,,,,,,0.001,0.111,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x4 | Deepspeed | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x4 | Deepspeed | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,3,2,,,,,,,,0.121,0.111,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x4 | Deepspeed | IFEval,LLM IFEval,llm-inference-bench,IFEval,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x4 | Deepspeed | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x4 | Deepspeed | MMLU,LLM MMLU,llm-inference-bench,MMLU,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x4 | Deepspeed | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x4 | Deepspeed | MuSR,LLM MuSR,llm-inference-bench,MuSR,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x4 | Deepspeed | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,3,2,,,,,,,,0.144,0.111,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x8 | Deepspeed | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x8 | Deepspeed | BBH,LLM BBH,llm-inference-bench,BBH,3,2,,,,,,,,0.145,0.099,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x8 | Deepspeed | GPQA,LLM GPQA,llm-inference-bench,GPQA,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x8 | Deepspeed | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,3,2,,,,,,,,0.704,0.099,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x8 | Deepspeed | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x8 | Deepspeed | IFEval,LLM IFEval,llm-inference-bench,IFEval,3,2,,,,,,,,0.221,0.099,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x8 | Deepspeed | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,3,2,,,,,,,,0.182,0.099,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x8 | Deepspeed | MMLU,LLM MMLU,llm-inference-bench,MMLU,3,2,,,,,,,,0.123,0.099,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x8 | Deepspeed | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,3,2,,,,,,,,0.155,0.099,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x8 | Deepspeed | MuSR,LLM MuSR,llm-inference-bench,MuSR,3,2,,,,,,,,0.09,0.099,,excluded: front shorter than six points
llm-bench | Habana Gaudi2 x8 | Deepspeed | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x1 | llama.cpp | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,4,3,,,,,,,,0.159,0.083,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x1 | llama.cpp | BBH,LLM BBH,llm-inference-bench,BBH,4,2,,,,,,,,0.317,0.037,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x1 | llama.cpp | GPQA,LLM GPQA,llm-inference-bench,GPQA,4,3,,,,,,,,0.054,0.119,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x1 | llama.cpp | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,4,2,,,,,,,,1.202,0.037,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x1 | llama.cpp | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,4,3,,,,,,,,0.269,0.083,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x1 | llama.cpp | IFEval,LLM IFEval,llm-inference-bench,IFEval,4,2,,,,,,,,0.088,0.037,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x1 | llama.cpp | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,4,2,,,,,,,,0.211,0.037,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x1 | llama.cpp | MMLU,LLM MMLU,llm-inference-bench,MMLU,4,2,,,,,,,,0.615,0.037,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x1 | llama.cpp | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,4,2,,,,,,,,0.336,0.037,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x1 | llama.cpp | MuSR,LLM MuSR,llm-inference-bench,MuSR,4,2,,,,,,,,0.116,0.037,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x1 | llama.cpp | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,4,3,,,,,,,,0.172,0.083,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x1 | vLLM | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,4,2,,,,,,,,0.006,0.225,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x1 | vLLM | BBH,LLM BBH,llm-inference-bench,BBH,4,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x1 | vLLM | GPQA,LLM GPQA,llm-inference-bench,GPQA,4,2,,,,,,,,0.001,0.24,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x1 | vLLM | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,4,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x1 | vLLM | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,4,2,,,,,,,,0.19,0.225,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x1 | vLLM | IFEval,LLM IFEval,llm-inference-bench,IFEval,4,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x1 | vLLM | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,4,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x1 | vLLM | MMLU,LLM MMLU,llm-inference-bench,MMLU,4,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x1 | vLLM | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,4,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x1 | vLLM | MuSR,LLM MuSR,llm-inference-bench,MuSR,4,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x1 | vLLM | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,4,2,,,,,,,,0.17,0.225,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x2 | llama.cpp | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,4,3,,,,,,,,0.159,0.062,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x2 | llama.cpp | BBH,LLM BBH,llm-inference-bench,BBH,4,2,,,,,,,,0.317,0.001,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x2 | llama.cpp | GPQA,LLM GPQA,llm-inference-bench,GPQA,4,3,,,,,,,,0.054,0.068,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x2 | llama.cpp | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,4,2,,,,,,,,1.202,0.001,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x2 | llama.cpp | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,4,3,,,,,,,,0.269,0.062,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x2 | llama.cpp | IFEval,LLM IFEval,llm-inference-bench,IFEval,4,2,,,,,,,,0.088,0.001,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x2 | llama.cpp | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,4,2,,,,,,,,0.211,0.001,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x2 | llama.cpp | MMLU,LLM MMLU,llm-inference-bench,MMLU,4,2,,,,,,,,0.615,0.001,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x2 | llama.cpp | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,4,2,,,,,,,,0.336,0.001,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x2 | llama.cpp | MuSR,LLM MuSR,llm-inference-bench,MuSR,4,2,,,,,,,,0.116,0.001,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x2 | llama.cpp | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,4,3,,,,,,,,0.172,0.062,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x2 | vLLM | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,1,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x2 | vLLM | BBH,LLM BBH,llm-inference-bench,BBH,1,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x2 | vLLM | GPQA,LLM GPQA,llm-inference-bench,GPQA,1,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x2 | vLLM | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,1,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x2 | vLLM | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,1,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x2 | vLLM | IFEval,LLM IFEval,llm-inference-bench,IFEval,1,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x2 | vLLM | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,1,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x2 | vLLM | MMLU,LLM MMLU,llm-inference-bench,MMLU,1,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x2 | vLLM | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,1,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x2 | vLLM | MuSR,LLM MuSR,llm-inference-bench,MuSR,1,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x2 | vLLM | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,1,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x4 | llama.cpp | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,4,2,,,,,,,,0.006,0.064,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x4 | llama.cpp | BBH,LLM BBH,llm-inference-bench,BBH,4,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x4 | llama.cpp | GPQA,LLM GPQA,llm-inference-bench,GPQA,4,2,,,,,,,,0.001,0.069,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x4 | llama.cpp | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,4,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x4 | llama.cpp | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,4,2,,,,,,,,0.19,0.064,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x4 | llama.cpp | IFEval,LLM IFEval,llm-inference-bench,IFEval,4,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x4 | llama.cpp | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,4,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x4 | llama.cpp | MMLU,LLM MMLU,llm-inference-bench,MMLU,4,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x4 | llama.cpp | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,4,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x4 | llama.cpp | MuSR,LLM MuSR,llm-inference-bench,MuSR,4,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x4 | llama.cpp | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,4,2,,,,,,,,0.17,0.064,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x4 | vLLM | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,1,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x4 | vLLM | BBH,LLM BBH,llm-inference-bench,BBH,1,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x4 | vLLM | GPQA,LLM GPQA,llm-inference-bench,GPQA,1,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x4 | vLLM | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,1,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x4 | vLLM | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,1,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x4 | vLLM | IFEval,LLM IFEval,llm-inference-bench,IFEval,1,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x4 | vLLM | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,1,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x4 | vLLM | MMLU,LLM MMLU,llm-inference-bench,MMLU,1,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x4 | vLLM | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,1,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x4 | vLLM | MuSR,LLM MuSR,llm-inference-bench,MuSR,1,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Intel PVC GPU x4 | vLLM | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,1,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | Deepspeed-MII | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | Deepspeed-MII | BBH,LLM BBH,llm-inference-bench,BBH,3,2,,,,,,,,0.032,0.042,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | Deepspeed-MII | GPQA,LLM GPQA,llm-inference-bench,GPQA,3,2,,,,,,,,0.019,0.042,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | Deepspeed-MII | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,3,2,,,,,,,,0.127,0.042,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | Deepspeed-MII | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | Deepspeed-MII | IFEval,LLM IFEval,llm-inference-bench,IFEval,3,2,,,,,,,,0.018,0.221,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | Deepspeed-MII | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,3,2,,,,,,,,0.016,0.042,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | Deepspeed-MII | MMLU,LLM MMLU,llm-inference-bench,MMLU,3,2,,,,,,,,0.07,0.042,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | Deepspeed-MII | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,3,2,,,,,,,,0.029,0.042,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | Deepspeed-MII | MuSR,LLM MuSR,llm-inference-bench,MuSR,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | Deepspeed-MII | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | TensorRT-LLM | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | TensorRT-LLM | BBH,LLM BBH,llm-inference-bench,BBH,3,2,,,,,,,,0.032,0.045,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | TensorRT-LLM | GPQA,LLM GPQA,llm-inference-bench,GPQA,3,2,,,,,,,,0.019,0.045,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | TensorRT-LLM | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,3,2,,,,,,,,0.127,0.045,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | TensorRT-LLM | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | TensorRT-LLM | IFEval,LLM IFEval,llm-inference-bench,IFEval,3,2,,,,,,,,0.018,0.66,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | TensorRT-LLM | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,3,2,,,,,,,,0.016,0.045,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | TensorRT-LLM | MMLU,LLM MMLU,llm-inference-bench,MMLU,3,2,,,,,,,,0.07,0.045,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | TensorRT-LLM | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,3,2,,,,,,,,0.029,0.045,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | TensorRT-LLM | MuSR,LLM MuSR,llm-inference-bench,MuSR,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | TensorRT-LLM | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | llama.cpp | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,3,2,,,,,,,,0.159,0.054,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | llama.cpp | BBH,LLM BBH,llm-inference-bench,BBH,3,3,,,,,,,,0.172,0.087,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | llama.cpp | GPQA,LLM GPQA,llm-inference-bench,GPQA,3,3,,,,,,,,0.054,0.087,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | llama.cpp | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,3,3,,,,,,,,0.498,0.087,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | llama.cpp | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,3,2,,,,,,,,0.269,0.054,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | llama.cpp | IFEval,LLM IFEval,llm-inference-bench,IFEval,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | llama.cpp | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,3,3,,,,,,,,0.029,0.087,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | llama.cpp | MMLU,LLM MMLU,llm-inference-bench,MMLU,3,3,,,,,,,,0.493,0.087,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | llama.cpp | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,3,3,,,,,,,,0.181,0.087,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | llama.cpp | MuSR,LLM MuSR,llm-inference-bench,MuSR,3,2,,,,,,,,0.075,0.054,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | llama.cpp | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,3,2,,,,,,,,0.172,0.054,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | vLLM | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,15,3,,,,,,,,0.043,0.951,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | vLLM | BBH,LLM BBH,llm-inference-bench,BBH,13,3,,,,,,,,0.042,0.169,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | vLLM | GPQA,LLM GPQA,llm-inference-bench,GPQA,12,2,,,,,,,,0.014,0.169,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | vLLM | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,15,2,,,,,,,,0.124,0.851,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | vLLM | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,15,3,,,,,,,,0.047,0.217,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | vLLM | IFEval,LLM IFEval,llm-inference-bench,IFEval,13,2,,,,,,,,0.371,0.949,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | vLLM | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,13,4,,,,,,,,0.068,0.851,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | vLLM | MMLU,LLM MMLU,llm-inference-bench,MMLU,13,3,,,,,,,,0.186,0.169,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | vLLM | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,13,3,,,,,,,,0.073,0.169,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | vLLM | MuSR,LLM MuSR,llm-inference-bench,MuSR,13,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x1 | vLLM | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,15,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | Deepspeed-MII | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | Deepspeed-MII | BBH,LLM BBH,llm-inference-bench,BBH,3,2,,,,,,,,0.032,0.055,,excluded: front shorter than six points
